2021/02/03 12:37:25 socat[29126] N PTY is /dev/pts/1
2021/02/03 12:37:25 socat[29126] N opening character device "/dev/ttyUSB0" for reading and writing
  FD  type	device	inode	mode	links	uid	gid	rdev	size	blksize	blocks	atime				mtime				ctime				cloexec	flags	sigown	sigio
   5: chrdev	0,6	1111	020666	1	0	5	5,2	0	4096	0	Wed Feb  3 12:37:20 2021	Wed Feb  3 12:37:20 2021	Tue Feb  2 16:17:18 2021	1	x000002	0	0	(no STREAMS modules)	/dev/ptmx 	IFLAGS=00000000 OFLAGS=00000000 CFLAGS=000008bd LFLAGS=00000000 cc[0]=^C cc[1]=^\ cc[2]=x7F cc[3]=^U cc[4]=^D cc[5]=^@ cc[6]=^@ cc[7]=^@ cc[8]=^Q cc[9]=^S cc[10]=^Z cc[11]=^@ cc[12]=^R cc[13]=^O cc[14]=^W cc[15]=^V cc[16]=^@ cc[17]=^@ cc[18]=^@ cc[19]=^@ cc[20]=^@ cc[21]=^@ cc[22]=^@ cc[23]=^@ cc[24]=^@ cc[25]=^@ cc[26]=^@ cc[27]=^@ cc[28]=^@ cc[29]=^@ cc[30]=^@ cc[31]=^@poll: OUT,
   7: chrdev	0,6	841484	020660	1	0	20	188,0	0	4096	0	Wed Feb  3 12:34:56 2021	Wed Feb  3 12:35:08 2021	Wed Feb  3 08:10:44 2021	1	x000402	0	0	(no STREAMS modules)	/dev/ttyUSB0 	IFLAGS=00000000 OFLAGS=00000004 CFLAGS=00000cbd LFLAGS=00000a30 cc[0]=^C cc[1]=^\ cc[2]=x7F cc[3]=^U cc[4]=^D cc[5]=^@ cc[6]=^A cc[7]=^@ cc[8]=^Q cc[9]=^S cc[10]=^Z cc[11]=^@ cc[12]=^R cc[13]=^O cc[14]=^W cc[15]=^V cc[16]=^@ cc[17]=^@ cc[18]=^@ cc[19]=^@ cc[20]=^@ cc[21]=^@ cc[22]=^@ cc[23]=^@ cc[24]=^@ cc[25]=^@ cc[26]=^@ cc[27]=^@ cc[28]=^@ cc[29]=^@ cc[30]=^@ cc[31]=^@poll: OUT,
2021/02/03 12:37:25 socat[29126] N starting data transfer loop with FDs [5,5] and [7,7]
> 2021/02/03 12:37:37.895038  length=18 from=0 to=17
rF9BE0200,2BCB3500< 2021/02/03 12:37:37.953575  length=1 from=0 to=0
#> 2021/02/03 12:37:40.898777  length=1 from=18 to=18
L< 2021/02/03 12:37:40.901506  length=1 from=1 to=1
1< 2021/02/03 12:37:40.902526  length=1 from=2 to=2
#> 2021/02/03 12:37:42.901114  length=1 from=19 to=19
L< 2021/02/03 12:37:42.903680  length=1 from=3 to=3
1< 2021/02/03 12:37:42.905228  length=1 from=4 to=4
#> 2021/02/03 12:37:44.903487  length=1 from=20 to=20
L< 2021/02/03 12:37:44.906062  length=1 from=5 to=5
1< 2021/02/03 12:37:44.907115  length=1 from=6 to=6
#> 2021/02/03 12:37:46.905860  length=1 from=21 to=21
L< 2021/02/03 12:37:46.908469  length=1 from=7 to=7
1< 2021/02/03 12:37:46.909477  length=1 from=8 to=8
#> 2021/02/03 12:37:48.908232  length=1 from=22 to=22
L< 2021/02/03 12:37:48.910736  length=1 from=9 to=9
1< 2021/02/03 12:37:48.911767  length=1 from=10 to=10
#> 2021/02/03 12:37:50.910612  length=1 from=23 to=23
L< 2021/02/03 12:37:50.913221  length=1 from=11 to=11
1< 2021/02/03 12:37:50.914250  length=1 from=12 to=12
#> 2021/02/03 12:37:52.912986  length=1 from=24 to=24
L< 2021/02/03 12:37:52.915497  length=1 from=13 to=13
1< 2021/02/03 12:37:52.916529  length=1 from=14 to=14
#> 2021/02/03 12:37:54.915374  length=1 from=25 to=25
L< 2021/02/03 12:37:54.918090  length=1 from=15 to=15
1< 2021/02/03 12:37:54.919127  length=1 from=16 to=16
#> 2021/02/03 12:37:56.917737  length=1 from=26 to=26
L< 2021/02/03 12:37:56.920584  length=1 from=17 to=17
1< 2021/02/03 12:37:56.921676  length=1 from=18 to=18
#> 2021/02/03 12:37:58.920106  length=1 from=27 to=27
L< 2021/02/03 12:37:58.922758  length=1 from=19 to=19
1< 2021/02/03 12:37:58.923789  length=1 from=20 to=20
#> 2021/02/03 12:38:00.922427  length=1 from=28 to=28
L< 2021/02/03 12:38:00.925019  length=1 from=21 to=21
1< 2021/02/03 12:38:00.926050  length=1 from=22 to=22
#> 2021/02/03 12:38:02.924806  length=1 from=29 to=29
